# i	j	label_i	pdb_i	label_j	pdb_j	J_Hz
0	1	H26	H1x	H27	H2x	5.381381
0	2	H26	H1x	H28	H3x	-0.067397
0	3	H26	H1x	H29	H4x	5.862723
0	4	H26	H1x	H30	H5x	-0.016042
0	5	H26	H1x	H31	H6x	-0.233856
0	6	H26	H1x	H32	H7x	-0.079756
0	7	H26	H1x	H33	H8x	-0.214519
0	8	H26	H1x	H34	H9x	0.022379
0	9	H26	H1x	H35	H10x	-0.120601
0	10	H26	H1x	H36	H11x	-0.033208
0	11	H26	H1x	H37	H12x	-0.169366
0	12	H26	H1x	H38	H13x	-0.120562
0	13	H26	H1x	H39	H14x	-0.286453
0	14	H26	H1x	H40	H15x	-0.275593
0	15	H26	H1x	H41	H16x	-0.189161
0	16	H26	H1x	H42	H17x	-0.169260
0	17	H26	H1x	H43	H18x	-0.150008
0	18	H26	H1x	H44	H19x	-0.171052
0	19	H26	H1x	H45	H20x	-0.161048
0	20	H26	H1x	H46	H21x	-0.167328
0	21	H26	H1x	H47	H22x	-0.129993
1	2	H27	H2x	H28	H3x	6.107517
1	3	H27	H2x	H29	H4x	0.198672
1	4	H27	H2x	H30	H5x	-0.183610
1	5	H27	H2x	H31	H6x	-0.150947
1	6	H27	H2x	H32	H7x	-0.231642
1	7	H27	H2x	H33	H8x	-0.198571
1	8	H27	H2x	H34	H9x	-0.154271
1	9	H27	H2x	H35	H10x	-0.199846
1	10	H27	H2x	H36	H11x	-0.097382
1	11	H27	H2x	H37	H12x	-0.153383
1	12	H27	H2x	H38	H13x	-0.093347
1	13	H27	H2x	H39	H14x	-0.237014
1	14	H27	H2x	H40	H15x	-0.164017
1	15	H27	H2x	H41	H16x	-0.128054
1	16	H27	H2x	H42	H17x	-0.150668
1	17	H27	H2x	H43	H18x	-0.142739
1	18	H27	H2x	H44	H19x	-0.164145
1	19	H27	H2x	H45	H20x	-0.174111
1	20	H27	H2x	H46	H21x	-0.193930
1	21	H27	H2x	H47	H22x	-0.177393
2	3	H28	H3x	H29	H4x	0.128301
2	4	H28	H3x	H30	H5x	-0.223453
