# atom_idx	atom_name	element	sigma_iso	shift_ppm
0	C1x	C	69.224757	124.675280
1	C2x	C	67.643732	126.256304
2	C3x	C	80.698543	113.201493
3	C4x	C	45.683694	148.216342
4	C5x	C	59.642613	134.257423
5	C6x	C	72.758908	121.141129
6	C7x	C	137.777177	56.122859
7	C8x	C	140.840708	53.059328
8	C9x	C	145.451925	48.448111
9	N1x	N	201.376862	nan
10	C10x	C	123.768430	70.131606
11	C11x	C	165.048626	28.851410
12	C12x	C	162.475231	31.424806
13	C13x	C	144.387364	49.512672
14	C14x	C	133.560835	60.339202
15	N2x	N	108.122641	nan
16	C15x	C	31.507717	162.392319
17	O1x	O	-109.699716	nan
18	C16x	C	155.344014	38.556022
19	C17x	C	109.981934	83.918102
20	O2x	O	282.749057	nan
21	C18x	C	130.816307	63.083730
22	C19x	C	63.385860	130.514177
23	C20x	C	42.160024	151.740012
24	C21x	C	133.804003	60.096034
25	H1x	H	24.416724	7.200271
26	H2x	H	24.302360	7.314636
27	H3x	H	23.422222	8.194773
28	H4x	H	24.476270	7.140725
29	H5x	H	29.905275	1.711720
30	H6x	H	29.242821	2.374175
31	H7x	H	28.118801	3.498194
32	H8x	H	28.853978	2.763018
33	H9x	H	27.676638	3.940357
34	H10x	H	29.438541	2.178455
35	H11x	H	30.176738	1.440258
36	H12x	H	28.919580	2.697415
37	H13x	H	30.934174	0.682821
38	H14x	H	27.356424	4.260572
39	H15x	H	28.861410	2.755586
40	H16x	H	28.803471	2.813524
41	H17x	H	28.051456	3.565539
42	H18x	H	28.220788	3.396207
43	H19x	H	27.777428	3.839567
44	H20x	H	25.293871	6.323124
45	H21x	H	28.797775	2.819220
46	H22x	H	27.793265	3.823730
